date, pop,percent_change
12/31/00,1059633675,1.84
12/31/01,1078970907,1.82
12/31/02,1098313039,1.79
12/31/03,1117415123,1.74
12/31/04,1136264583,1.69
12/31/05,1154638713,1.62
12/31/06,1172373788,1.54
12/31/07,1189691809,1.48
12/31/08,1206734806,1.43
12/31/09,1223640160,1.4
12/31/10,1240613620,1.39
12/31/11,1257621191,1.37
12/31/12,1274487215,1.34
12/31/13,1291132063,1.31
12/31/14,1307246509,1.25
12/31/15,1322866505,1.19
12/31/16,1338636340,1.19
12/31/17,1354195680,1.16
12/31/18,1369003306,1.09
12/31/19,1383112050,1.03
12/31/20,1396387127,0.96
12/31/21,1407563842,0.8
12/31/22,1417173173,0.68
12/31/23,1428627663,0.81
